TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,ContractAddress,Type,Value,Fee,Status,ErrCode,CurrentPrice,TxDateOpeningPrice,TxDateClosingPrice
0x4dd3145a4937db93910f3fa580809eb4acdedf6b1afbe455a1ec6af684d90ab8,20066167,2024-04-08 16:29:15.000000Z,0x9F83A430081fBC7D03b36C1115213De1D8217D83,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17208103976348334012,ok,,,,
0x89540d1d11070de58d02e611319a09c1a4dfd53e7d972b9211320b15b2ebd730,20066163,2024-04-08 16:28:35.000000Z,0xbaC78328A7679a090758C1814AB3065fC6e90639,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,14377084025018450703,ok,,,,
0xcc99558078a9cf901322484d9daedcab32fffdd109b393c1eec135b522c97810,20066155,2024-04-08 16:27:15.000000Z,0x9F83A430081fBC7D03b36C1115213De1D8217D83,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,10865225234340758820,ok,,,,
0x958d56e6ddcef1e90df566369dafa99ed7760c957b49c26b87c6be02f541180a,20066124,2024-04-08 16:22:05.000000Z,0x49c1250A747505FBA4dC16CAefC38BD4A0Bf64FF,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15474089597764152906,ok,,,,
0x4fcb85dabd8c53bfc25a0202a16e394c4d8bf1612546ac2ab5d56713113e15ea,20066118,2024-04-08 16:21:05.000000Z,0xF0b6d6ebf35E17fCF4e385d7A3942B0225AF6bC5,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,10021433696118535262,ok,,,,
0x91da6a41210bf02a06bce73312e664a79842891f9fc139d1cea67f4291beef87,20066118,2024-04-08 16:21:05.000000Z,0xF0b6d6ebf35E17fCF4e385d7A3942B0225AF6bC5,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,11058657455004126462,ok,,,,
0xba1ae98186b429085c59ae416fb07a26cfa212c7a09b7ddca7470008ef80fec4,20066111,2024-04-08 16:19:55.000000Z,0x9F83A430081fBC7D03b36C1115213De1D8217D83,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15008271064023117009,ok,,,,
0x4d9b53146ff817900a6eb8bcc21bb3b7d511906f3a39d23447b57f276835190e,20066095,2024-04-08 16:17:15.000000Z,0x9F83A430081fBC7D03b36C1115213De1D8217D83,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15348780856932793272,ok,,,,
0x537eaffb177f016c2f4c53678f2874418a9f8be7819834d5087071207499a77f,20065964,2024-04-08 15:54:25.000000Z,0xFeA1247B10AacC90B1c8fEcafa496Da7714D9e10,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,21615879612455555430,ok,,,,
0x52ecf47266410476a3f55697b56dcf782fb1998f401fa3896801ca93806eee8c,20065935,2024-04-08 15:49:25.000000Z,0xFeA1247B10AacC90B1c8fEcafa496Da7714D9e10,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,27281515754263449060,ok,,,,
